name,isin,type,dtcreated
Berentzen-Gruppe Aktiengesellschaft,DE0005201602,0,2016-02-15 11:40:01
Berentzen-Gruppe Aktiengesellschaft,DE0005201602,0,2016-02-15 11:40:01
Deutsche Konsum REIT-AG,DE000A14KRD3,0,2016-02-15 17:47:35
Singulus Technologies AG,DE000A1681X5,0,2016-02-15 19:14:25
Singulus Technologies AG,DE000A1681X5,0,2016-02-15 19:14:25
MARNA Beteiligungen AG,DE000A0H1GY2,0,2016-02-15 21:27:57
MARNA Beteiligungen AG,DE000A0H1GY2,0,2016-02-15 21:27:57
AREAL Immobilien und Beteiligungs-AG,DE000A1RFGW0,0,2016-02-16 08:51:45
OHB SE,DE0005936124,0,2016-02-16 10:48:15
OHB SE,DE0005936124,0,2016-02-16 10:48:15
Deutsche Konsum REIT-AG,DE000A14KRD3,0,2016-02-16 11:36:00
init innovation in traffic systems SE,DE0005759807,0,2016-02-16 13:01:11
init innovation in traffic systems SE,DE0005759807,0,2016-02-16 13:01:11
Singulus Technologies AG,DE000A1681X5,0,2016-02-16 17:28:05
Singulus Technologies AG,DE000A1681X5,0,2016-02-16 17:28:05
Peach Property Group AG,CH0118530366,0,2016-02-17 07:00:09
Peach Property Group AG,CH0118530366,0,2016-02-17 07:00:09
RWE Aktiengesellschaft,DE0007037129,0,2016-02-17 09:16:06
RWE Aktiengesellschaft,DE0007037129,0,2016-02-17 09:16:06
Accu Holding AG,CH0001366332,0,2016-02-17 17:35:08
Accu Holding AG,CH0001366332,0,2016-02-17 17:35:08
TAKKT AG,DE0007446007,0,2016-02-17 18:44:01
TAKKT AG,DE0007446007,0,2016-02-17 18:44:01
Fresenius Medical Care AG & Co. KGaA,DE0005785802,0,2016-02-17 23:17:36
Fresenius Medical Care AG & Co. KGaA,DE0005785802,0,2016-02-17 23:17:36
Wüstenrot & Württembergische AG,DE0008051004,0,2016-02-18 09:41:16
Wüstenrot & Württembergische AG,DE0008051004,0,2016-02-18 09:41:16
DO & CO Aktiengesellschaft,AT0000818802,0,2016-02-18 09:47:31
DO & CO Aktiengesellschaft,AT0000818802,0,2016-02-18 09:47:31
PAION AG,DE000A0B65S3,0,2016-02-18 15:19:56
PAION AG,DE000A0B65S3,0,2016-02-18 15:19:56
PNE AG,DE000A0JBPG2,0,2016-02-18 16:40:35
PNE AG,DE000A0JBPG2,0,2016-02-18 16:40:35
